Date,Close/Last,Volume,Open,High,Low
11/29/2022,$73.39,51846450,$73.62,$74.4899,$72.78
11/28/2022,$73.19,45448320,$73.81,$75.4699,$72.57
11/25/2022,$75.14,26018910,$75.67,$76.0393,$74.7495
11/23/2022,$76.4,81623630,$75.49,$78.22,$75.3
11/22/2022,$75.25,55450160,$72.72,$75.33,$72.1091
11/21/2022,$72.46,51536350,$72.21,$72.98,$71.57
11/18/2022,$73.57,73223210,$75.07,$75.3499,$72.18
11/17/2022,$73.9,82320830,$70.56,$74.38,$70.16
11/16/2022,$72.7,79968000,$73.655,$74.8268,$71.925
11/15/2022,$76.37,108946300,$77.26,$79.16,$75.39
11/14/2022,$73.53,108892800,$75.22,$75.25,$72.67
11/11/2022,$72.37,111709500,$69.58,$73.32,$68.29
11/10/2022,$68.47,107996300,$64.3,$68.8,$63.62
11/09/2022,$59.92,62940340,$62.28,$63.05,$59.8
11/08/2022,$63.85,75938050,$64.09,$64.96,$62.3678
11/07/2022,$63.08,62722500,$62.93,$63.53,$61.4
11/04/2022,$62.19,84791350,$62.5,$63,$60.53
11/03/2022,$60.11,95279890,$58.11,$62.28,$58.03
11/02/2022,$58.63,142669400,$63,$63.93,$58.57
11/01/2022,$59.66,83806670,$61.485,$61.99,$59.425
10/31/2022,$60.06,73274140,$60.75,$61.86,$59.525
10/28/2022,$62.01,78198610,$59.1,$62.35,$58.92
10/27/2022,$58.6,83871440,$61.6,$62.72,$58.51
10/26/2022,$59.73,79915890,$59.69,$61.77,$59.15
10/25/2022,$61.47,85501880,$58.765,$61.975,$58.69
10/24/2022,$58.7,76305380,$58.57,$59,$56.66
10/21/2022,$58.82,95366370,$57.215,$58.91,$55.71
10/20/2022,$57.77,79552600,$57.47,$60.2,$57.4
10/19/2022,$57.23,75704840,$57.325,$59.0376,$56.57
10/18/2022,$57.92,103064500,$59.91,$60.49,$56.4
10/17/2022,$57.96,76977600,$57.35,$58.51,$57.1
10/14/2022,$55.94,96959300,$59.6,$59.94,$55.835
10/13/2022,$58.94,131159800,$55.52,$60.14,$54.57
10/12/2022,$57.85,89264180,$57.45,$58.32,$56.32
10/11/2022,$57.63,114054800,$57.21,$58.915,$56.05
10/10/2022,$57.81,112241800,$57.31,$58.79,$56.3
10/07/2022,$58.44,163786300,$64.01,$64.03,$58.22
10/06/2022,$67.85,98325920,$67.82,$70.29,$67.661
10/05/2022,$67.94,87127380,$66.59,$68.69,$64.515
10/04/2022,$67.9,77160480,$68.27,$69.18,$67.33
10/03/2022,$66.11,83841630,$64.46,$66.91,$63.39
09/30/2022,$63.36,81664130,$63.615,$65.91,$63.34
09/29/2022,$64.14,102552400,$67.15,$67.2,$62.8301
09/28/2022,$68.36,72389460,$67.11,$68.7979,$66.56
09/27/2022,$67.17,94871790,$67.9,$68.78,$66
09/26/2022,$66.3,82898690,$67.87,$68.74,$66.25
09/23/2022,$67.96,87689950,$68,$69.0801,$66.8216
09/22/2022,$69.5,101436900,$73.89,$74.29,$69.17
09/21/2022,$74.48,82069700,$75.435,$78.41,$74.45
09/20/2022,$75.25,51129080,$76.08,$76.58,$74.7312
09/19/2022,$76.77,64966910,$75.39,$77.34,$75.35
09/16/2022,$76.51,75300180,$75.62,$76.82,$74.68
09/15/2022,$76.66,81817970,$76.64,$77.97,$74.905
09/14/2022,$77.45,71483000,$77.1,$78.08,$75.87
09/13/2022,$77.03,80921220,$80.955,$81.47,$76.8
09/12/2022,$84.64,71922540,$84.89,$85.3488,$83.46
09/09/2022,$85.45,68936920,$84.03,$85.68,$83.84
09/08/2022,$82.78,89089300,$80.03,$83.45,$79.24
09/07/2022,$79.61,67891170,$79.24,$80.25,$77.74
09/06/2022,$78.72,68727300,$80.41,$80.89,$78.3724
09/02/2022,$80.24,84924450,$83.315,$83.65,$79.805
09/01/2022,$82.33,94854710,$82.345,$82.755,$78.52
08/31/2022,$84.87,64991720,$86.28,$86.72,$83.72
08/30/2022,$86.94,69087120,$90.055,$90.15,$85.34
08/29/2022,$88.49,61142540,$90.05,$91.19,$88.26
08/26/2022,$91.18,65552540,$96.29,$97.5999,$91.12
08/25/2022,$97.18,61016200,$93.14,$97.57,$93.14
08/24/2022,$92.73,56520430,$92.21,$93.38,$90.9
08/23/2022,$92.49,52590670,$92.39,$94.44,$92.11
08/22/2022,$92.84,61837280,$94.4,$95.02,$92.36
08/19/2022,$95.95,67221690,$98.67,$99.245,$94.59
08/18/2022,$100.44,76059520,$97.74,$101.07,$96.7342
08/17/2022,$98.27,63735580,$99.26,$99.64,$96.725
08/16/2022,$100.2,60220670,$100.84,$101.45,$98.3201
08/15/2022,$101.01,61327140,$100.505,$101.85,$99.8002
08/12/2022,$100.83,72316350,$99.2,$101.4,$98.48
08/11/2022,$98.12,77516860,$99.93,$102.37,$98
08/10/2022,$99.05,83416120,$98.45,$99.35,$95.61
08/09/2022,$95.54,89473660,$97.95,$98.0461,$93.67
08/08/2022,$100.07,92692590,$100.06,$101.8,$97.99
08/05/2022,$102.31,93859880,$101.05,$103.86,$100.98
08/04/2022,$103.91,125855800,$97.5,$104.59,$97.26
08/03/2022,$98.09,131142000,$94.83,$98.7693,$93.62
08/02/2022,$99.29,116734100,$95.71,$100.915,$95.36
08/01/2022,$96.78,96477500,$95.59,$98.39,$93.96
07/29/2022,$94.47,76630710,$90.7,$94.81,$90.56
07/28/2022,$91.67,79009190,$90.415,$92.22,$88.5909
07/27/2022,$89.82,78301560,$86.94,$90.62,$86.29
07/26/2022,$85.25,69180370,$87,$87.749,$84.71
07/25/2022,$87.54,70083010,$86.57,$87.6,$85.12
07/22/2022,$88.1,76989700,$90.2,$90.69,$87.04
07/21/2022,$91.09,90449340,$89.6,$91.58,$88.22
07/20/2022,$89.43,88348560,$85.39,$89.9198,$85.08
07/19/2022,$85.88,85047510,$82.76,$86.41,$82.19
07/18/2022,$81.43,90464330,$82.21,$84.47,$80.94
07/15/2022,$81.11,76050600,$79.36,$81.2,$77.9
07/14/2022,$78.6,83493650,$78.23,$79.25,$76
07/13/2022,$77.52,79354980,$74.94,$79.11,$74.48
07/12/2022,$76.36,77873210,$76.98,$77.44,$74.43
07/11/2022,$76.95,76247540,$77.845,$78.29,$75.8417
07/08/2022,$79.35,83405930,$78.31,$80.47,$77.4
07/07/2022,$79.3,83640950,$77.195,$79.99,$76.9
07/06/2022,$75.35,85458860,$75.17,$76.28,$73.55
07/05/2022,$75.2,95685750,$71.98,$75.21,$71.6
07/01/2022,$73.67,87734240,$75.185,$75.45,$72.69
06/30/2022,$76.47,105368600,$77.73,$78.91,$75.48
