Date,Close/Last,Volume,Open,High,Low
11/29/2022,$48.28,13779540,$48.25,$48.41,$47.84
11/28/2022,$48.08,14978280,$48.29,$48.47,$47.92
11/25/2022,$48.4,8492585,$48.75,$49.05,$48.345
11/23/2022,$48.57,12065560,$48.4,$48.99,$48.32
11/22/2022,$48.38,16367810,$48,$48.42,$47.76
11/21/2022,$47.62,17049540,$47.61,$48.29,$47.56
11/18/2022,$47.79,30843250,$46.91,$48.04,$46.86
11/17/2022,$46.59,38887820,$46.188,$46.845,$45.1601
11/16/2022,$44.39,24939620,$44.94,$44.98,$44.301
11/15/2022,$44.9,19318030,$45.04,$45.24,$44.445
11/14/2022,$44.74,21091270,$44.832,$45.44,$44.68
11/11/2022,$44.79,25961760,$45.18,$45.32,$43.92
11/10/2022,$45.66,27190060,$45.7,$45.81,$44.645
11/09/2022,$43.91,19311650,$44.51,$44.72,$43.89
11/08/2022,$44.61,17503080,$44.69,$45.35,$44.18
11/07/2022,$44.55,21382990,$44.832,$44.98,$44.405
11/04/2022,$44.52,19648750,$44.5,$45.08,$43.8315
11/03/2022,$43.85,17895620,$44.03,$44.15,$43.39
11/02/2022,$44.57,15309360,$45.47,$46.21,$44.55
11/01/2022,$45.46,12088890,$45.58,$45.79,$45.06
10/31/2022,$45.43,17793740,$45.305,$45.64,$45.055
10/28/2022,$45.64,17978330,$44.69,$45.71,$44.65
10/27/2022,$44.42,18102450,$44.77,$45.085,$44.36
10/26/2022,$44.38,20055300,$44.93,$45.23,$44.28
10/25/2022,$44.36,19165170,$43.34,$44.4,$43.2
10/24/2022,$43.54,18785260,$43.115,$43.73,$42.9
10/21/2022,$42.8,25035030,$41.85,$42.97,$41.81
10/20/2022,$41.71,16830460,$41.56,$42.615,$41.455
10/19/2022,$41.88,19071940,$41.63,$42.235,$41.47
10/18/2022,$41.79,18223320,$41.92,$42.22,$41.26
10/17/2022,$41.3,27845190,$41.04,$41.525,$40.95
10/14/2022,$40.2,19572200,$40.84,$40.96,$39.92
10/13/2022,$40.61,26328350,$39.03,$40.8,$38.605
10/12/2022,$39.27,17279920,$39.7,$39.86,$39.25
10/11/2022,$39.58,19386430,$39.81,$40.11,$39.27
10/10/2022,$39.89,16628440,$40.625,$40.805,$39.6
10/07/2022,$40.27,19055400,$41.25,$41.25,$40.0809
10/06/2022,$41.52,18198830,$41.65,$42.09,$41.37
10/05/2022,$41.99,14289740,$41.585,$42.25,$41.4
10/04/2022,$41.82,22889360,$41.56,$42.035,$41.39
10/03/2022,$41.29,22203580,$40.67,$41.53,$40.47
09/30/2022,$40,27989870,$40.66,$41.04,$39.96
09/29/2022,$40.57,19496430,$41.05,$41.1,$40.15
09/28/2022,$41.34,23217710,$40.85,$41.57,$40.592
09/27/2022,$40.52,15027870,$41.14,$41.46,$40.225
09/26/2022,$40.58,22694820,$40.66,$41.19,$40.37
09/23/2022,$40.66,19067690,$41.25,$41.25,$40.12
09/22/2022,$41.15,16690990,$41.34,$41.55,$41.14
09/21/2022,$41.59,21415880,$42.32,$42.865,$41.57
09/20/2022,$42.58,16813920,$43.01,$43.02,$42.2625
09/19/2022,$43.3,13667540,$42.895,$43.44,$42.76
09/16/2022,$43.3,32696100,$43.11,$43.58,$42.785
09/15/2022,$43.29,18148600,$43.81,$43.87,$43.09
09/14/2022,$43.96,27551510,$44.04,$44.27,$43.5604
09/13/2022,$44.11,23028650,$45.72,$45.91,$44.02
09/12/2022,$46.4,17923010,$46.11,$46.73,$45.97
09/09/2022,$45.77,15499420,$45.66,$45.89,$45.395
09/08/2022,$45.37,14231500,$44.76,$45.47,$44.62
09/07/2022,$45.02,18297410,$44.75,$45.165,$44.35
09/06/2022,$44.47,14366070,$44.66,$44.787,$43.98
09/02/2022,$44.59,14720950,$45.71,$45.92,$44.275
09/01/2022,$45.29,16236430,$44.57,$45.34,$44.4
08/31/2022,$44.72,23006140,$45.78,$45.83,$44.585
08/30/2022,$45.24,14279070,$45.75,$45.87,$44.9608
08/29/2022,$45.71,13425740,$45.72,$46,$45.49
08/26/2022,$45.89,20309830,$47.08,$47.27,$45.88
08/25/2022,$47.27,23039280,$47.25,$47.43,$46.84
08/24/2022,$47.07,14946490,$47.09,$47.405,$46.87
08/23/2022,$47.41,13596810,$47.59,$48.04,$47.39
08/22/2022,$47.71,20534050,$48.47,$48.5,$47.515
08/19/2022,$48.7,23130410,$49.01,$49.46,$48.535
08/18/2022,$49.37,39999940,$49.795,$50,$49.11
08/17/2022,$46.66,27975610,$46.36,$47.1,$46.225
08/16/2022,$46.77,21153700,$46.57,$47.01,$46.4401
08/15/2022,$46.59,15456070,$46.39,$46.62,$46.025
08/12/2022,$46.61,16967590,$46.09,$46.61,$45.97
08/11/2022,$45.9,15849320,$46.11,$46.425,$45.77
08/10/2022,$46.02,18935430,$45.71,$46.06,$45.43
08/09/2022,$44.92,12826330,$45.15,$45.18,$44.7249
08/08/2022,$45.02,15466670,$45.49,$45.52,$44.855
08/05/2022,$45.01,19533920,$44.91,$45.07,$44.54
08/04/2022,$45.38,15249320,$45.9,$45.93,$45.005
08/03/2022,$45.71,14943770,$44.9,$45.82,$44.79
08/02/2022,$44.92,15005410,$45.52,$45.7,$44.9019
08/01/2022,$45.28,14153360,$45.06,$45.427,$44.76
07/29/2022,$45.37,23701680,$45.11,$45.49,$44.83
07/28/2022,$45.62,17576190,$44.88,$45.865,$44.71
07/27/2022,$44.64,22348960,$44.19,$44.79,$43.83
07/26/2022,$43.83,19513030,$44.37,$44.54,$43.75
07/25/2022,$44.34,12954740,$44.66,$44.66,$44.11
07/22/2022,$44.46,14854640,$44.78,$44.92,$44.25
07/21/2022,$44.58,15364580,$44.29,$44.69,$44.07
07/20/2022,$44.13,15599220,$44.08,$44.315,$43.66
07/19/2022,$44.03,22861380,$42.82,$44.09,$42.65
07/18/2022,$42.6,16743800,$43.3,$43.32,$42.405
07/15/2022,$43.07,19897840,$42.5,$43.13,$42.5
07/14/2022,$42.33,17336230,$41.79,$42.47,$41.35
